V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301,V302,V303,V304,V305,V306,V307,V308,V309,V310,V311,V312,V313,V314,V315,V316,V317,V318,V319,V320,V321,V322,V323,V324,V325,V326,V327,V328,V329,V330,V331,V332,V333,V334,V335,V336,V337,V338,V339,V340,V341,V342,V343,V344,V345,V346,V347,V348,V349,V350,V351,V352,V353,V354,V355,V356,V357,V358,V359,V360,V361,V362,V363,V364,V365,V366,V367,V368,V369,V370,V371,V372,V373,V374,V375,V376,V377,V378,V379,V380,V381,V382,V383,V384,V385,V386,V387,V388,V389,V390,V391,V392,V393,V394,V395,V396,V397,V398,V399,V400,V401,V402,V403,V404,V405,V406,V407,V408,V409,V410,V411,V412,V413,V414,V415,V416,V417,V418,V419,V420,V421,V422,V423,V424,V425,V426,V427,V428,V429,V430,V431,V432,V433,V434,V435,V436,V437,V438,V439,V440,V441,V442,V443,V444,V445,V446,V447,V448,V449,V450,V451,V452,V453,V454,V455,V456,V457,V458,V459,V460,V461,V462,V463,V464,V465,V466,V467,V468,V469,V470,V471,V472,V473,V474,V475,V476,V477,V478,V479,V480,V481,V482,V483,V484,V485,V486,V487,V488,V489,V490,V491,V492,V493,V494,V495,V496,V497,V498,V499
20,135,64,180,180,58,96,32,64,20,64,135,180,152,197,246,250,284,180,258,250,180,250,298,283,281,298,281,284,283,258,246,246,250,195,195,54,195,242,250,246,96,152,180,281,298,298,281,195,283,298,283,298,283,298,283,298,250,281,250,281,298,298,298,284,283,298,246,284,298,281,242,246,180,246,298,284,298,298,283,284,195,120,242,246,152,242,96,197,120,20,152,32,120,180,152,180,195,180,246,246,258,250,284,283,298,298,180,250,283,20,152,195,250,180,250,242,195,180,298,258,246,180,246,180,195,96,120,195,120,64,96,120,242,298,284,283,246,298,283,242,246,298,283,281,298,298,242,195,180,195,298,298,242,180,250,242,242,242,195,242,250,298,246,283,195,195,152,152,180,250,195,250,180,195,242,242,283,298,250,246,242,246,120,96,135,54,64,32,20,20,96,195,246,250,283,281,284,258,284,258,298,242,246,250,246,298,195,246,195,250,283,298,250,152,152,258,180,195,197,180,246,250,242,54,152,120,64,180,195,152,180,135,180,20,32,32,64,250,258,135,242,246,180,96,120,20,32,20,32,120,20,32,20,20,20,64,32,32,20,64,120,152,250,195,197,284,96,64,89,20,64,195,120,96,180,64,64,195,96,180,250,89,258,242,283,258,180,180,242,180,180,281,250,246,250,298,246,250,246,197,250,283,250,197,242,96,180,246,197,96,152,64,20,96,20,64,54,195,152,180,135,89,64,96,195,180,54,195,120,96,195,197,64,20,20,20,64,4,20,20,20,64,32,96,64,20,20,20,96,96,180,242,64,64,96,20,152,64,96,64,96,152,180,180,152,180,298,284,242,180,120,135,180,195,246,250,197,152,96,195,242,242,250,242,283,246,250,258,250,298,197,250,195,246,246,242,283,242,242,298,250,246,242,298,298,250,246,180,250,298,250,281,195,246,298,298,281,250,180,180,180,54,180,135,96,20,20,32,54,32,20,32,20,8,20,54,89,20,54,32,54,20,64,54,89,64,152,64,54,32,4,96,58,32,32,20,32,180,96,64,64,32,54,96,180,64,152,246,195,246,152,64,120,96,246,180,64,32,64,32,20,32,20,20,32,96,20,20,20,20,20,64,135,64,135,96,54,180
96,180,180,152,120,20,64,58,20,152,135,197,120,246,250,246,246,298,180,246,250,246,298,246,298,242,246,250,195,298,246,195,180,195,242,64,120,180,242,246,96,250,152,96,246,242,283,96,298,96,246,246,246,298,250,250,284,242,250,298,283,242,258,284,298,250,283,246,298,242,284,250,283,152,195,246,250,250,246,180,195,96,96,242,284,250,64,152,54,96,64,96,242,180,195,152,246,246,250,281,283,283,298,246,298,242,283,195,250,197,96,180,250,298,120,180,250,180,283,281,246,298,283,283,242,96,135,180,180,152,64,246,152,250,250,298,281,242,283,281,298,298,283,298,246,283,246,298,281,283,250,283,258,180,246,242,283,250,250,250,246,120,195,242,246,298,180,180,246,96,96,242,96,64,180,195,180,246,281,242,250,250,246,197,64,96,120,64,96,64,152,180,250,242,250,250,283,250,250,246,246,242,281,258,298,283,250,152,152,195,246,283,246,246,180,250,283,246,180,96,250,298,152,64,180,242,242,152,246,242,152,120,96,64,64,120,32,96,246,197,64,250,180,152,89,58,96,64,20,96,152,96,96,64,64,64,54,20,20,64,64,250,242,242,96,246,195,180,120,195,135,32,58,96,64,32,180,96,135,152,195,96,135,250,195,284,250,246,246,298,152,246,242,246,242,246,250,135,195,242,283,246,250,180,242,152,120,195,195,152,180,180,64,152,242,96,20,135,64,96,64,64,54,195,96,242,180,20,64,246,180,120,195,120,20,64,32,20,20,32,20,32,4,20,32,54,96,64,20,152,20,152,152,54,135,180,64,20,96,58,20,152,180,152,120,152,64,180,298,258,246,298,197,281,195,246,250,283,180,152,197,246,281,246,242,298,242,64,195,242,298,250,242,152,180,298,250,283,246,195,283,250,242,246,281,283,250,197,242,246,250,283,298,258,250,246,246,284,195,242,135,246,152,96,54,20,20,20,64,96,64,20,64,96,32,20,32,54,96,20,32,20,32,20,32,195,96,180,32,20,64,54,32,64,64,32,32,64,96,120,64,152,64,58,120,58,64,180,96,180,64,246,96,195,242,242,195,96,20,54,96,64,64,20,20,20,20,32,64,20,32,20,32,96,180,246,120,246,120
20,20,89,64,89,96,64,89,135,96,180,195,64,180,258,195,242,246,258,246,298,246,298,242,283,298,246,180,180,283,135,195,242,152,242,89,120,195,197,195,246,250,120,250,242,298,281,246,298,242,250,250,242,258,242,298,281,284,298,281,298,298,250,246,281,298,283,246,281,298,298,298,284,135,242,120,195,246,197,242,197,180,96,195,284,195,180,135,64,96,120,180,135,246,246,195,242,298,246,258,250,246,242,246,195,242,284,246,242,242,180,195,258,281,284,242,298,246,298,195,250,298,246,242,242,197,195,242,180,96,32,96,20,180,246,258,242,284,246,246,246,246,180,250,298,283,283,242,242,258,246,180,250,195,64,195,246,180,250,195,242,242,283,242,283,180,250,96,242,242,152,180,135,152,180,152,250,298,246,283,250,298,250,242,180,135,64,96,135,180,96,242,180,195,298,246,284,195,246,242,283,250,246,246,281,246,242,246,180,246,242,250,152,180,152,120,96,250,246,242,197,250,152,135,89,242,250,197,246,180,135,180,96,180,32,20,20,197,195,96,152,180,96,195,180,180,96,64,195,180,64,96,152,180,32,58,20,20,20,20,96,152,242,152,120,58,64,96,32,180,20,64,32,96,64,64,180,120,20,64,242,120,64,246,242,246,120,250,283,298,195,96,242,298,298,180,120,258,250,246,250,246,195,246,242,54,197,242,246,120,152,180,195,135,250,96,64,54,14,32,32,20,180,96,180,195,180,180,64,152,180,246,152,96,32,32,20,32,20,32,20,32,152,32,58,64,54,64,120,195,250,64,180,242,197,64,20,135,96,58,135,135,180,242,298,195,180,246,281,284,250,246,135,250,298,152,96,180,64,152,195,242,180,180,258,246,195,250,242,180,195,246,298,250,281,250,246,180,246,246,246,250,298,242,246,298,242,242,250,180,195,250,246,152,298,242,250,283,281,283,195,250,242,180,64,64,20,32,20,64,54,58,96,20,32,20,20,20,64,64,4,64,32,20,96,152,135,58,96,20,20,32,64,96,120,54,64,20,58,64,20,54,64,152,96,180,64,135,284,246,180,152,96,152,64,180,54,64,32,64,64,96,20,20,32,32,20,32,96,20,32,20,64,64,89,32,64,96,64
4,58,64,58,96,54,135,135,64,96,180,96,135,54,250,120,96,180,135,250,246,283,180,195,250,258,298,246,152,281,246,250,135,180,120,96,96,54,152,250,298,283,242,250,258,284,298,284,195,242,291,298,298,283,250,283,298,283,298,258,242,180,242,246,298,298,180,180,250,195,250,195,180,180,64,64,242,250,298,195,152,180,180,281,250,180,242,96,58,20,195,120,120,250,283,298,283,246,242,180,242,242,242,120,246,298,283,283,242,135,180,96,195,246,298,250,246,283,246,246,197,250,96,64,96,195,152,135,246,197,64,64,54,64,152,250,281,152,298,298,242,284,284,250,298,250,283,152,242,242,250,298,242,152,96,250,242,180,258,250,250,246,250,242,283,96,246,246,180,96,96,120,96,152,242,242,250,246,283,298,250,195,246,180,96,96,180,152,180,197,135,89,242,152,258,250,242,250,242,250,246,284,284,250,258,242,283,152,242,152,246,246,242,250,250,242,180,283,246,250,180,246,242,250,96,298,242,250,246,246,195,242,197,96,246,180,96,64,242,195,195,54,152,242,120,96,180,20,64,96,135,180,96,96,64,54,20,96,58,89,54,152,180,64,32,96,64,32,64,96,96,20,120,152,32,20,58,96,32,32,64,20,32,54,152,180,242,96,180,180,246,180,242,180,250,246,250,242,246,180,250,250,298,246,242,180,152,246,242,250,96,180,152,96,135,246,58,152,32,20,20,20,32,64,120,64,96,96,20,64,96,180,246,180,54,20,4,4,20,64,180,197,54,20,54,135,64,20,180,152,152,197,180,120,96,96,20,89,180,120,120,195,195,180,283,250,180,120,298,283,298,258,197,246,242,242,96,197,250,250,135,283,298,242,298,242,246,246,246,120,180,258,246,195,246,242,135,242,96,120,250,195,242,180,152,152,246,180,180,197,283,298,281,195,250,246,246,246,242,298,246,298,242,20,20,32,20,54,32,32,20,64,96,96,54,20,64,32,54,20,20,20,64,96,96,180,64,180,96,20,54,54,54,180,195,96,20,32,96,120,96,20,120,89,64,120,96,242,96,250,96,64,120,96,135,152,64,20,64,120,96,180,64,64,20,20,20,20,54,32,64,64,96,64,20,96,152,32,32
32,20,20,135,180,195,20,20,64,64,54,195,120,120,20,246,96,96,197,195,298,284,246,298,246,197,250,281,246,250,284,250,242,195,96,96,64,96,120,180,246,197,120,246,180,246,298,283,283,283,298,281,281,298,180,283,281,298,246,246,298,246,180,242,180,250,120,197,283,180,120,180,195,195,195,242,180,242,298,250,250,180,197,246,96,152,135,135,180,96,180,96,64,96,195,242,180,197,250,120,246,258,283,250,242,250,242,281,246,135,180,120,242,120,246,281,246,195,152,180,180,152,64,89,96,152,96,135,96,152,135,20,20,64,89,96,180,135,250,246,250,281,195,152,246,246,283,246,152,242,250,242,180,180,135,246,242,246,283,246,242,298,283,298,246,242,180,96,195,54,152,96,120,152,96,135,250,120,152,195,246,180,120,64,96,120,195,96,152,197,96,180,246,250,281,96,242,180,180,246,298,250,281,298,250,250,246,242,242,197,96,195,180,152,180,246,195,250,242,246,152,180,246,250,197,242,250,120,180,197,96,64,152,96,120,20,64,120,152,180,246,54,195,120,64,58,120,54,64,96,195,58,89,20,20,32,58,64,64,120,32,64,64,96,96,54,120,4,20,64,54,20,64,64,64,20,64,20,54,20,8,20,32,20,96,120,250,242,195,242,180,152,64,246,298,283,250,246,283,283,250,242,250,283,250,180,246,246,195,96,197,195,242,195,180,20,64,20,58,32,20,20,20,20,32,64,58,64,54,54,250,64,96,58,20,20,14,20,20,96,58,32,32,20,32,64,96,20,20,96,54,64,54,89,20,64,64,96,120,242,246,250,246,246,242,246,246,180,258,246,242,180,242,246,180,180,96,152,246,180,242,250,242,180,246,250,298,242,246,96,242,197,298,281,250,283,152,246,242,180,180,246,152,135,96,152,246,242,250,250,246,246,195,152,246,250,258,246,197,242,250,180,195,96,64,20,20,32,20,20,54,32,135,120,120,96,64,54,120,32,64,32,180,20,195,96,120,246,96,32,89,32,32,96,96,120,54,96,54,96,54,64,64,120,96,195,197,152,195,180,54,152,64,135,120,96,20,120,96,120,197,152,32,54,135,32,54,64,152,64,242,180,96,32,64,96,54,135,54
64,54,152,64,96,32,20,32,96,96,180,242,96,64,96,120,197,246,246,180,152,96,135,242,284,246,242,242,195,250,284,180,180,152,64,20,64,246,58,197,250,180,195,152,152,180,242,284,298,250,283,298,250,284,283,298,283,250,283,242,258,298,180,246,242,195,246,120,96,250,152,96,32,135,152,284,242,135,246,250,242,195,180,152,195,135,32,120,64,96,64,32,64,120,96,250,298,242,96,242,242,246,298,246,242,250,242,298,246,195,246,246,250,96,246,197,242,195,54,180,180,180,64,20,120,246,64,135,180,152,120,64,32,32,64,135,120,64,195,242,242,152,180,58,197,120,242,250,180,180,258,283,258,152,120,120,242,195,242,195,283,298,242,250,250,298,195,120,180,96,180,120,135,152,246,180,64,180,246,180,64,96,64,20,20,64,64,120,246,180,152,180,250,195,120,195,242,250,242,250,283,180,246,283,298,246,195,298,135,180,242,64,246,242,246,250,283,298,250,246,96,58,58,96,135,120,180,197,180,197,20,246,246,195,96,89,96,32,152,195,180,64,64,152,195,32,64,96,96,64,96,180,54,32,20,64,96,242,96,96,32,152,135,64,20,64,20,64,20,20,54,64,96,20,32,20,54,20,32,20,32,20,54,14,135,180,242,180,250,96,120,64,96,135,242,242,283,298,195,246,281,298,246,258,135,197,250,242,152,180,250,246,197,195,20,32,250,96,54,32,89,152,64,20,64,20,96,32,20,64,96,54,32,58,64,32,32,54,32,96,32,20,20,20,20,64,120,54,32,32,20,96,20,180,58,96,64,32,64,180,246,250,242,197,180,250,283,242,195,281,250,152,197,250,250,152,135,20,152,258,246,246,250,195,152,242,281,283,242,197,195,250,283,242,242,195,135,180,242,283,96,242,195,242,120,242,195,298,246,246,258,250,242,250,242,284,250,250,284,246,284,250,195,180,64,32,20,152,64,96,20,64,135,64,195,135,135,89,96,96,20,152,54,96,180,180,152,152,195,64,58,64,20,32,54,180,64,20,64,32,32,20,32,20,64,180,242,195,152,32,58,120,195,242,246,152,180,197,246,64,180,242,96,64,180,120,20,58,195,195,250,195,96,54,20,32,20,96,20
32,32,96,32,32,64,32,20,58,152,20,32,64,242,20,152,246,152,242,250,246,96,195,298,250,298,195,246,135,64,242,195,195,54,96,135,120,96,246,195,246,195,180,246,64,180,258,246,298,284,298,281,298,298,250,298,298,246,298,246,283,246,242,246,195,246,152,246,250,180,180,195,120,89,152,152,242,250,246,298,242,96,135,120,135,20,96,120,96,54,96,135,135,152,242,242,284,242,250,180,152,180,281,283,242,242,283,246,258,242,284,284,298,283,250,242,246,246,250,96,197,54,120,152,120,250,180,120,64,58,96,54,20,20,20,64,64,96,242,258,246,250,242,64,135,180,64,246,242,250,298,250,246,246,180,250,246,242,135,246,298,246,195,246,246,152,180,246,242,64,120,135,96,135,180,64,120,58,32,54,64,96,152,64,20,32,96,180,195,258,197,242,152,152,96,195,152,258,281,298,246,284,246,246,250,120,64,250,195,195,258,246,242,195,180,242,246,197,250,195,242,64,20,64,64,64,64,96,20,54,32,96,298,242,135,20,32,20,242,242,246,32,64,96,180,96,64,96,152,64,20,64,20,20,20,32,180,120,64,64,64,120,20,64,32,20,32,32,14,32,32,32,20,32,32,32,20,32,4,20,20,32,58,20,32,20,195,135,135,135,96,96,120,195,246,246,250,242,242,242,250,283,283,246,58,64,135,246,242,246,283,195,96,64,96,20,180,64,96,64,20,64,64,32,58,64,32,64,32,20,20,20,152,54,96,20,20,64,20,64,32,20,32,14,32,20,32,20,32,20,20,58,20,64,20,54,64,180,96,120,180,96,58,195,242,298,250,242,246,250,283,242,246,180,195,180,195,195,152,180,152,180,242,246,250,195,250,298,20,242,242,180,283,195,64,96,135,250,195,195,120,135,152,180,96,135,246,180,120,152,246,250,281,246,246,246,283,246,120,246,152,120,152,54,32,20,20,64,20,64,32,180,64,96,54,96,120,120,58,64,180,180,96,96,195,180,195,180,197,135,120,89,96,96,20,96,20,152,20,58,135,54,96,64,242,180,152,197,64,96,64,180,32,197,195,180,180,195,120,195,250,250,283,152,135,250,58,152,135,96,250,120,195,32,20,32,64,64,64
258,180,96,152,32,20,32,20,32,20,64,195,64,96,180,195,96,120,242,195,96,197,246,283,246,250,242,242,180,20,96,89,96,242,180,152,96,180,242,195,120,152,195,135,152,96,250,246,246,283,298,284,258,298,283,281,250,284,283,283,298,246,152,242,246,250,246,246,242,135,152,246,250,242,135,180,283,242,246,283,250,250,180,152,96,96,135,64,152,135,120,242,258,298,246,242,281,298,250,180,246,152,298,258,246,283,298,195,242,298,242,281,246,180,180,96,152,20,54,64,120,96,135,120,89,197,180,64,20,135,64,64,58,32,20,32,120,258,298,180,180,152,180,152,152,242,195,250,242,298,258,246,242,152,242,195,180,180,180,250,246,152,180,195,180,250,242,246,32,32,64,32,64,152,246,64,54,64,64,20,120,54,89,96,64,180,180,120,250,242,180,242,250,180,96,246,283,298,298,250,283,242,298,283,246,246,120,180,54,152,250,197,180,64,120,64,246,246,246,64,197,195,20,96,120,96,195,64,20,20,64,64,64,120,20,64,64,58,96,120,180,152,54,20,20,120,64,20,32,20,20,32,96,64,20,64,58,64,96,32,96,20,32,32,20,20,20,32,20,20,8,54,20,4,20,4,4,20,20,4,32,20,4,64,20,64,20,180,152,195,96,20,180,246,152,152,246,250,298,195,246,281,242,283,246,195,120,180,283,283,250,135,32,14,32,54,20,54,180,152,120,20,32,20,54,96,64,20,64,20,64,20,64,32,64,32,64,32,135,64,54,20,20,64,20,32,20,32,20,64,20,20,32,64,152,96,96,96,246,250,242,180,120,96,197,283,246,298,180,96,180,298,246,180,180,180,242,242,180,195,152,195,250,96,58,152,242,152,250,246,180,120,96,54,20,20,195,96,195,96,120,195,195,242,195,96,152,242,135,180,195,298,298,242,258,250,250,96,135,195,96,96,96,32,20,4,32,32,64,96,96,96,120,96,20,20,64,180,180,197,96,54,152,96,120,180,96,20,89,96,20,20,195,120,58,20,64,64,64,96,96,64,96,180,197,64,32,58,120,20,54,96,64,152,180,152,96,64,58,180,246,152,195,246,242,64,20,32,195,64,20,89,64,58,20,32,54,58,64
250,197,180,180,96,64,120,120,96,64,20,96,152,54,135,180,96,180,96,120,250,135,246,246,195,246,180,195,180,120,180,89,250,180,197,135,195,242,246,135,20,135,96,180,195,180,64,180,242,281,242,246,242,298,281,284,283,298,250,298,250,250,283,284,250,242,298,298,250,180,120,242,152,246,195,242,283,250,246,242,283,242,242,180,135,20,242,96,246,180,64,152,283,283,242,283,298,283,242,242,180,250,242,250,242,250,250,250,298,246,135,298,246,298,298,283,180,120,96,96,180,20,152,180,246,195,250,120,64,135,180,64,152,89,64,246,152,242,250,195,152,283,250,135,242,96,120,96,152,242,242,246,250,242,283,246,135,242,197,281,283,246,64,242,246,250,281,180,120,195,152,54,64,120,242,64,96,135,120,64,96,32,120,180,64,242,242,195,180,246,298,283,250,298,250,298,283,298,283,250,298,250,298,242,258,96,242,180,180,197,246,250,250,242,258,250,242,180,152,180,152,96,32,54,135,180,135,180,20,32,120,135,96,64,20,54,64,180,4,246,242,120,96,64,180,58,20,54,64,64,96,20,120,96,64,20,20,54,54,64,32,20,20,64,20,32,32,20,32,20,20,20,20,32,20,20,32,20,14,20,20,32,20,32,14,32,20,64,96,96,152,96,96,120,195,135,246,283,284,298,250,246,242,283,180,246,281,298,152,180,180,152,96,64,64,20,20,32,96,58,20,64,20,64,54,96,20,96,32,42,32,20,58,20,20,32,96,32,96,20,20,32,54,32,4,32,20,20,32,32,32,64,54,64,96,20,96,197,152,246,246,250,135,96,246,250,250,281,283,96,242,246,242,246,180,152,195,197,180,246,242,180,152,180,96,195,197,246,195,246,250,135,195,96,64,58,32,197,246,120,32,64,120,242,152,197,246,250,152,246,242,283,246,250,246,250,246,242,180,120,54,120,64,58,20,20,14,32,89,152,180,120,180,135,64,32,20,20,96,135,197,20,64,135,135,152,195,120,96,20,64,20,180,64,64,32,54,20,89,58,64,197,54,195,152,96,32,64,64,96,135,120,152,152,135,250,120,120,96,242,250,195,20,180,135,120,180,20,64,64,64,96,64,180,20,64,32,58,180
120,135,152,64,32,20,135,96,180,64,195,250,96,195,180,152,152,283,152,250,246,180,242,180,246,283,258,195,135,96,96,96,246,96,246,180,120,120,195,242,64,96,250,242,180,298,246,242,258,298,242,250,283,281,246,298,284,250,246,246,180,197,135,195,298,283,246,242,246,250,197,195,250,250,180,64,96,246,250,242,246,250,246,180,180,180,242,96,135,250,242,120,250,298,180,242,195,246,250,242,258,258,250,197,246,246,180,152,242,197,246,246,246,258,246,250,152,120,96,120,20,152,135,250,258,195,152,96,180,152,195,58,242,180,120,197,298,246,180,180,246,32,195,96,64,64,96,195,152,195,195,250,298,120,298,281,250,96,120,258,246,242,96,250,298,195,283,242,250,180,180,20,152,135,96,96,120,135,152,20,32,64,96,242,180,258,180,246,180,180,197,258,250,250,180,283,246,180,258,246,281,298,298,246,250,152,152,242,96,197,242,250,246,283,283,283,246,195,135,195,250,180,32,96,64,152,180,54,20,20,8,42,135,96,152,152,96,54,120,197,180,96,20,54,32,20,64,180,20,54,120,180,20,20,96,58,32,20,20,64,4,32,20,32,20,64,20,32,20,14,20,54,32,20,8,20,14,20,4,32,20,4,20,4,20,20,20,8,20,96,54,20,180,195,180,195,195,195,242,284,250,246,135,197,246,242,250,242,246,195,246,242,32,20,96,20,20,20,180,89,20,32,58,20,20,58,89,20,20,96,64,96,64,4,32,14,64,58,64,20,20,20,32,20,32,20,32,20,32,20,32,120,152,96,152,96,32,246,180,152,246,242,152,120,250,242,246,246,283,242,180,197,246,152,64,120,246,298,246,180,250,246,246,120,96,180,246,180,242,246,180,96,20,32,64,195,96,20,64,152,180,58,96,250,258,242,250,246,242,246,284,246,246,120,283,298,242,250,246,96,20,54,64,64,96,180,58,20,96,246,242,96,96,120,120,64,58,20,96,197,64,32,120,96,64,135,64,152,64,32,20,246,89,64,54,96,96,152,96,20,64,180,120,120,32,120,64,54,96,32,96,96,246,152,180,195,242,180,89,246,246,152,120,96,120,96,96,96,20,20,96,135,54,58,180,64,96,96,96
96,54,58,20,32,20,64,152,64,96,152,120,180,180,152,152,120,246,250,242,250,246,242,298,242,246,180,152,96,152,152,89,195,180,120,180,242,195,246,180,180,64,32,180,298,246,250,281,250,250,250,281,242,284,180,298,258,246,250,298,242,250,180,195,250,180,195,250,283,195,180,180,258,242,250,96,250,96,242,242,180,180,96,246,242,152,195,64,195,250,135,96,246,242,152,242,180,242,284,242,298,283,250,283,195,242,195,246,96,152,152,250,135,195,197,250,96,64,180,96,64,96,246,250,250,298,96,180,195,120,180,96,120,120,180,197,195,152,258,246,250,242,197,180,152,152,120,246,120,152,242,246,283,180,246,242,246,283,284,195,96,180,152,246,283,250,250,246,120,96,96,120,120,152,54,64,96,152,120,96,246,64,120,64,120,152,250,246,242,197,250,242,195,298,246,283,250,242,152,298,283,281,284,246,298,197,250,258,242,195,195,195,246,283,258,281,152,246,96,180,135,152,64,180,152,135,120,120,120,20,20,54,58,64,96,120,152,135,135,96,283,180,64,64,120,54,20,64,96,64,96,64,20,120,54,64,20,20,54,64,20,64,54,64,4,64,64,32,20,58,20,20,32,20,20,20,4,32,20,32,20,32,4,32,20,32,20,20,96,20,32,32,20,180,246,242,197,246,258,250,283,250,195,242,250,180,197,180,180,250,180,135,64,64,20,20,120,152,242,20,20,64,20,64,32,96,20,20,20,64,20,20,58,20,20,20,96,64,20,20,20,32,20,32,58,4,32,64,64,64,64,96,152,180,250,152,242,20,96,246,298,298,250,246,135,246,250,246,120,152,180,152,246,180,64,242,242,258,283,96,195,180,284,152,120,195,195,96,152,64,54,54,64,96,152,180,64,152,195,96,195,96,152,197,246,197,242,195,195,242,250,298,180,195,242,180,152,246,180,135,120,64,195,64,20,64,20,64,64,96,195,180,195,180,20,64,96,152,54,120,96,180,96,64,197,152,64,64,20,32,64,20,96,32,64,64,195,64,54,135,96,135,96,152,180,197,96,64,152,20,64,120,250,135,197,96,180,246,246,152,242,152,96,64,195,54,20,32,20,64,96,20,20,58,54,120,246,180,197
152,64,20,64,64,96,54,96,96,58,180,64,135,89,246,298,242,246,246,246,250,246,242,284,246,250,242,195,54,152,246,246,180,242,195,246,250,32,64,64,195,96,96,180,96,135,242,246,242,298,246,250,250,152,242,298,283,258,242,242,298,281,284,242,246,180,197,283,298,246,246,180,246,246,242,180,152,250,246,298,246,152,135,284,180,152,32,180,250,180,64,96,120,96,152,180,250,258,298,246,283,242,246,242,250,246,180,246,180,152,120,180,96,120,246,180,195,135,96,64,120,180,195,283,246,180,180,54,96,180,32,180,64,96,250,32,250,195,250,152,250,246,180,195,152,96,180,246,242,246,242,195,195,96,197,180,246,284,298,298,195,246,246,246,298,283,242,180,96,96,152,195,180,58,152,180,246,96,250,246,246,96,197,152,180,96,242,180,242,195,195,195,242,246,246,242,298,298,298,281,284,298,246,242,246,242,180,195,246,250,197,250,242,195,152,242,246,195,152,135,64,197,242,120,195,242,180,96,135,64,32,20,135,32,20,96,197,58,180,298,246,20,152,20,96,64,32,120,96,20,64,120,120,96,32,32,64,20,20,64,96,96,96,20,32,20,64,96,54,96,32,20,20,32,32,20,20,32,32,20,20,8,20,20,20,20,20,20,96,20,64,64,20,120,96,242,242,197,180,120,281,283,152,135,96,180,195,64,152,96,180,32,20,32,64,152,96,195,180,246,120,135,180,152,20,64,58,20,32,20,20,64,32,20,14,20,152,54,20,32,32,20,20,20,120,20,20,32,20,195,58,180,96,180,246,242,180,120,120,96,180,195,246,96,180,246,246,242,180,135,135,246,96,120,242,180,195,283,195,180,54,64,120,96,180,96,64,20,32,120,54,120,96,135,96,195,195,135,96,152,180,195,135,96,250,246,180,152,96,180,250,246,284,242,180,242,20,152,120,195,242,242,64,54,20,32,20,120,96,32,180,152,250,250,64,54,64,180,96,64,32,180,20,152,120,20,96,180,96,64,135,64,96,58,152,152,96,152,197,195,135,152,64,246,195,96,96,54,58,64,96,135,250,242,250,96,96,152,195,96,242,283,246,242,195,152,96,96,20,58,64,20,96,64,20,32,152,96,242
