V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299
120,128,96,135,96,102,120,109,135,120,96,96,102,102,96,102,120,96,109,102,109,102,92,102,120,117,96,96,102,128,133,120,135,128,152,128,152,152,179,135,152,170,152,179,179,180,152,179,180,180,180,164,179,180,180,180,179,180,151,179,180,179,152,180,180,179,180,179,180,179,195,180,179,179,180,180,170,180,195,180,180,195,179,180,170,164,151,180,151,152,180,152,164,144,180,180,152,170,152,151,151,152,180,135,152,151,152,151,144,144,133,135,152,151,144,152,152,152,135,152,164,151,135,152,133,152,135,152,180,179,144,180,152,180,152,151,179,179,152,152,179,164,152,152,170,180,170,179,164,180,180,195,180,180,195,180,195,197,179,180,180,179,179,195,180,195,195,180,197,180,180,197,197,180,197,180,195,195,195,195,195,180,195,193,179,180,195,197,197,195,195,180,180,195,197,195,197,195,180,170,180,195,180,180,197,180,180,195,170,195,197,197,195,180,180,195,180,197,179,180,179,197,195,180,180,197,195,197,197,195,180,195,195,197,195,195,195,197,195,180,180,180,197,180,197,180,195,197,195,180,197,180,197,195,180,180,195,179,180,195,195,195,195,180,179,179,179,180,180,195,195,180,180,195,195,195,197,193,180,180,170,179,180,195,195,195,180,195,180,180,179,164,180,179,180,164,152,152,152
117,120,120,109,117,120,96,102,89,96,120,117,96,96,89,96,96,102,96,102,102,102,120,89,92,96,120,96,102,109,120,120,128,135,151,144,152,180,135,152,152,179,171,180,170,151,152,151,180,151,170,180,180,180,170,180,152,180,170,179,180,179,195,180,180,170,180,179,180,195,180,179,195,180,179,180,195,179,180,180,179,170,180,152,180,152,152,152,164,151,180,179,180,180,152,151,152,164,180,152,180,170,151,152,152,144,135,151,170,152,152,152,180,151,128,152,144,135,151,152,179,152,135,152,151,151,120,151,164,152,151,164,164,180,152,151,152,180,170,170,179,151,180,164,180,164,179,180,171,179,164,197,179,179,179,180,170,195,180,195,180,195,180,197,197,180,195,193,179,195,195,180,193,180,195,180,179,195,180,179,197,197,180,180,180,180,170,197,193,180,179,180,193,195,180,195,180,180,195,193,197,179,197,195,195,197,195,180,197,195,180,195,197,197,197,195,179,180,180,195,197,195,179,197,195,197,180,195,180,193,195,195,180,193,180,179,179,179,180,179,197,195,195,180,195,195,180,195,180,193,179,195,180,197,195,197,195,179,195,180,195,180,180,179,193,180,180,195,197,197,179,197,197,180,171,197,193,193,195,179,179,195,186,179,179,180,180,179,164,170,180,180,152,179,180,179,152,151,151
120,102,120,96,96,120,89,120,102,89,96,102,120,128,109,96,109,120,96,96,89,109,102,96,102,102,96,128,135,96,135,102,120,135,135,152,180,170,179,180,144,133,164,151,180,179,151,164,179,164,152,179,180,164,180,179,180,195,164,170,180,180,180,179,180,179,180,180,197,179,195,197,195,179,152,179,180,152,180,179,180,180,179,195,180,179,152,164,151,170,180,179,170,164,152,179,170,171,164,179,151,152,135,152,152,152,151,179,152,151,135,135,144,135,144,133,128,170,151,135,170,151,151,151,135,152,152,170,152,151,152,152,171,151,152,151,135,171,152,180,170,152,179,170,152,180,170,179,180,180,170,180,179,195,195,180,195,195,179,197,197,180,180,180,180,195,195,179,180,195,179,180,195,180,195,180,197,180,197,171,180,180,197,193,195,195,197,179,195,195,195,197,180,197,180,180,195,195,195,180,180,195,180,195,179,180,197,197,195,197,180,197,180,180,171,195,197,170,179,195,180,195,193,195,180,195,195,197,195,197,197,180,195,197,195,197,195,180,195,193,195,179,195,197,195,179,197,195,195,195,179,197,179,195,195,197,195,193,195,180,195,180,197,195,180,195,179,180,180,197,179,195,180,180,195,195,180,180,180,180,195,164,170,180,164,180,179,180,195,193,195,179,152,164,152,152,180,179,151
128,135,120,120,102,92,96,96,89,109,96,89,96,96,96,92,102,89,109,96,96,120,89,96,89,102,96,133,102,92,120,120,152,128,152,152,151,135,152,152,171,151,152,151,180,170,180,180,152,180,180,170,180,152,180,179,179,179,195,179,180,164,186,179,195,180,195,193,197,180,197,195,197,195,180,179,197,197,179,170,179,195,179,170,180,152,195,180,179,179,151,152,180,164,180,152,152,152,152,170,151,151,170,152,151,151,135,170,151,133,152,135,120,117,135,152,144,164,144,152,152,151,152,135,180,135,152,152,180,152,144,144,152,152,128,170,152,170,164,152,180,152,164,180,151,179,180,180,179,195,179,180,170,180,179,197,179,180,180,193,195,197,180,197,193,197,180,197,193,179,195,195,179,180,195,197,180,195,180,179,195,197,195,180,195,195,197,180,180,180,195,195,195,195,195,179,180,197,179,179,197,195,197,193,180,197,180,180,179,193,179,197,197,195,180,197,195,197,180,180,180,195,193,180,180,195,179,180,195,180,180,195,180,180,180,195,197,197,195,180,197,180,180,180,197,180,180,195,179,197,180,195,180,197,195,180,180,197,195,180,179,180,180,179,180,195,197,195,195,195,180,179,195,195,179,180,193,180,179,195,179,197,197,180,179,193,180,180,179,180,179,180,152,170,152,170,135,144,135
120,109,92,96,89,120,96,96,96,120,96,96,120,96,96,102,89,96,89,89,92,109,96,92,109,102,96,109,96,96,135,152,120,152,117,135,152,151,152,164,144,180,152,179,152,151,179,170,164,179,152,179,180,180,180,180,195,180,193,180,179,152,179,180,197,197,180,180,180,179,171,179,179,180,180,180,179,180,179,195,180,179,164,180,186,180,195,180,180,152,180,171,151,164,170,180,144,152,170,164,151,152,144,180,152,151,180,152,152,120,135,128,144,152,151,152,135,152,144,133,170,128,152,133,152,151,151,151,135,164,152,128,164,151,170,152,164,180,152,170,151,151,180,171,152,170,180,180,179,197,180,195,180,179,186,195,179,195,197,180,197,195,195,195,180,195,179,180,195,180,180,180,180,195,195,195,193,179,195,193,180,195,193,180,197,180,179,179,197,195,179,195,197,180,195,180,180,197,180,180,197,195,193,195,164,180,195,195,195,180,195,195,179,195,180,195,179,197,179,195,197,195,180,197,197,180,195,195,197,195,179,195,193,195,193,195,180,180,195,195,195,195,195,197,195,195,197,179,180,195,195,197,179,179,179,180,197,186,195,197,197,180,179,195,179,180,180,197,179,171,180,197,193,179,197,180,195,180,195,197,170,180,179,180,164,180,180,180,180,164,179,180,179,152,164,151,152,152,152
117,120,102,96,92,102,89,74,89,96,96,89,96,96,96,92,96,96,92,96,102,89,92,96,96,96,96,109,102,128,96,109,120,135,152,133,152,151,133,152,170,164,180,180,180,164,171,180,179,152,180,195,179,179,197,180,179,195,197,195,152,195,180,179,180,195,197,179,180,180,195,193,180,195,180,180,193,180,152,195,179,195,180,180,179,179,180,152,152,171,180,164,180,144,164,180,164,170,151,152,152,164,151,152,151,135,135,128,151,152,128,152,133,120,135,133,120,135,135,152,135,135,135,144,135,152,120,152,151,152,133,135,144,152,152,151,151,152,135,152,179,151,179,180,164,179,170,180,197,179,170,179,179,180,171,197,195,195,197,197,195,180,179,193,197,179,180,197,195,186,197,180,179,180,180,195,195,195,195,195,197,179,195,180,197,195,195,193,195,197,197,180,180,180,195,179,195,195,197,180,195,180,195,179,197,193,197,179,195,197,180,195,180,195,180,195,180,195,195,193,180,180,180,197,195,195,195,180,180,180,195,195,195,180,197,180,180,197,195,195,180,179,180,193,180,180,195,180,195,179,180,180,180,195,197,195,179,180,179,180,195,180,197,195,197,195,195,180,180,179,195,179,195,180,195,170,195,180,179,197,180,180,179,170,195,179,152,180,164,164,193,179,180,152,164,151,120,151,152
96,96,92,89,92,102,96,96,92,96,96,96,102,117,109,128,89,117,96,92,74,102,120,96,89,92,120,135,133,128,135,135,120,135,120,152,135,144,152,151,152,152,151,151,152,179,180,195,179,179,152,180,179,164,180,193,180,179,180,197,179,179,197,197,197,195,180,195,180,197,195,180,197,179,180,195,180,180,164,164,180,180,170,179,164,180,170,180,180,180,180,152,151,152,152,151,152,179,180,135,151,164,152,120,152,120,152,152,151,120,135,152,151,152,144,152,152,144,152,151,144,152,152,152,152,151,120,133,128,151,120,128,144,151,152,151,152,152,151,151,179,152,179,195,151,164,152,170,151,195,195,164,152,195,180,180,180,179,180,179,195,197,195,180,180,180,180,193,170,180,195,180,180,195,197,170,179,180,195,197,195,193,180,193,197,195,180,179,179,195,180,195,195,180,180,197,180,180,195,193,193,197,195,180,180,195,180,180,197,195,179,195,197,179,197,180,180,180,195,197,195,197,195,193,195,180,180,195,180,193,179,197,180,180,195,195,197,195,197,179,180,195,195,195,180,179,197,193,197,180,180,195,197,180,180,179,180,180,193,180,195,180,180,180,193,180,180,180,195,197,195,180,195,179,180,179,193,197,195,180,195,180,179,179,186,180,151,180,180,179,179,179,180,152,152,164,152,144,164
109,96,89,96,96,96,96,102,96,89,102,92,96,96,96,96,117,102,109,102,120,96,89,96,96,120,135,120,120,120,120,128,120,152,135,135,151,152,135,152,164,152,180,170,179,152,170,152,164,180,151,180,180,180,152,164,195,179,195,180,180,180,180,180,180,180,197,180,193,179,180,180,180,195,180,171,179,170,180,195,180,179,195,180,180,179,152,152,180,179,164,180,164,180,170,152,135,152,152,152,152,180,151,135,135,135,151,133,151,135,135,152,151,135,152,152,151,120,135,151,135,152,135,102,152,151,144,135,120,109,117,152,152,135,152,144,152,135,133,144,164,152,151,152,179,180,179,152,180,197,193,180,180,195,195,197,180,197,180,195,180,186,180,179,180,193,179,197,179,197,180,195,180,195,180,180,197,179,197,195,195,197,197,179,180,195,195,195,193,180,197,193,180,195,195,193,180,193,180,195,180,193,180,197,180,179,197,195,193,179,197,193,180,197,195,193,197,195,197,195,180,197,195,180,179,197,195,195,195,197,179,195,197,195,197,195,180,180,195,195,195,179,195,197,195,179,193,195,180,195,197,193,180,197,193,179,180,179,180,179,180,180,179,195,180,195,197,195,180,195,180,180,180,170,195,195,180,180,195,170,179,197,180,164,195,180,180,180,164,180,170,180,180,152,151,170,128,144,152
96,74,109,96,96,64,74,96,89,96,96,74,96,109,102,89,89,109,96,102,96,89,120,102,89,109,128,120,117,102,135,135,151,128,120,135,152,151,152,152,151,170,151,152,180,180,180,179,180,180,195,152,179,164,195,180,193,180,197,179,180,195,197,179,193,180,180,180,164,195,195,180,151,179,179,180,180,180,180,179,164,180,179,195,180,180,180,195,180,179,152,179,152,180,135,180,152,151,180,152,152,144,152,144,151,151,135,152,152,152,144,152,128,152,151,151,152,152,152,152,152,151,135,135,135,128,128,128,120,135,135,128,133,144,164,135,120,151,152,152,151,151,152,180,164,151,151,171,180,170,180,195,180,179,152,180,179,197,180,179,179,197,195,180,195,197,164,195,195,195,180,197,195,195,180,197,180,195,180,195,180,195,197,180,195,195,179,197,197,180,195,180,179,195,180,195,179,197,180,179,180,195,180,197,179,197,180,180,197,195,180,197,195,195,195,180,195,180,195,180,180,195,180,195,180,193,179,197,180,180,180,197,180,180,195,179,195,170,179,180,193,180,197,179,193,195,186,195,197,195,195,180,195,180,195,195,180,195,195,179,195,180,195,195,180,179,195,180,179,180,179,195,180,164,195,180,197,180,195,180,179,180,179,195,179,180,179,180,197,152,179,179,179,164,179,164,135,152,120
102,96,96,74,96,89,89,64,89,96,96,96,120,102,96,64,96,102,117,109,89,92,102,109,92,96,135,128,120,152,120,120,117,135,152,135,135,151,151,170,152,152,144,170,152,197,152,152,180,179,152,180,179,180,180,179,195,179,180,179,180,180,180,180,179,180,195,195,180,179,180,180,197,195,197,171,197,180,179,180,180,170,180,180,164,179,180,179,170,152,170,152,180,151,152,152,152,152,151,144,151,133,135,151,180,152,128,135,128,135,152,135,133,135,135,135,152,164,144,135,164,144,135,152,135,120,117,135,96,144,128,128,117,120,135,152,135,151,128,164,144,152,152,180,152,179,152,180,193,180,179,179,180,180,180,195,179,197,179,195,180,195,195,179,179,179,179,180,179,195,195,180,180,179,197,195,195,195,180,180,179,171,193,195,197,180,193,195,179,195,186,195,180,180,179,197,180,195,179,197,195,180,195,179,195,180,195,195,195,180,180,195,180,180,179,195,180,180,195,197,179,193,179,180,197,180,179,197,180,195,195,179,180,195,197,180,180,180,195,179,197,195,195,193,195,180,180,179,197,195,197,180,180,180,195,195,193,180,180,197,179,197,179,179,180,179,180,197,180,180,171,195,180,179,179,180,164,180,180,180,179,180,170,180,197,180,179,152,179,164,180,152,180,144,180,152,152,128,135
89,89,92,96,96,96,96,96,96,58,89,92,96,89,89,96,89,102,102,96,96,96,102,96,120,117,120,135,117,135,120,135,120,151,128,120,152,151,135,151,152,152,152,152,170,180,180,151,180,164,170,179,180,179,180,180,179,179,195,179,180,197,197,195,186,180,180,193,179,197,180,179,180,186,180,180,179,180,180,179,195,180,151,180,180,164,197,180,151,180,164,152,164,152,170,135,152,151,151,180,135,152,151,152,135,144,135,151,133,128,120,135,152,120,152,135,151,152,135,152,151,152,135,120,120,120,109,120,128,120,120,144,117,120,128,135,128,152,152,151,151,135,144,152,164,180,179,179,170,179,171,179,180,180,180,152,180,195,180,197,195,179,180,180,180,195,180,197,195,180,193,197,180,179,195,180,180,197,197,180,180,180,179,180,197,195,197,195,180,195,180,195,195,195,197,195,180,195,195,180,195,197,179,195,197,195,197,179,195,180,197,195,197,197,180,197,180,180,179,179,170,180,195,179,195,195,195,197,195,195,197,195,180,195,195,195,197,197,195,195,193,197,180,197,193,197,179,195,195,195,179,179,179,195,180,180,180,180,197,195,195,180,180,197,195,179,180,197,195,180,179,164,179,180,180,179,197,180,179,180,164,171,180,164,180,195,180,180,170,197,180,170,195,151,152,170,152,135,135
64,96,92,74,96,102,96,89,89,96,89,92,96,109,89,96,89,96,109,120,109,135,117,96,120,128,109,120,128,109,144,152,152,117,152,151,152,135,135,135,151,151,152,152,151,170,179,195,180,179,180,179,152,170,180,180,180,180,195,180,180,195,180,179,195,180,179,180,179,180,180,195,180,180,195,180,193,195,195,195,180,179,164,179,180,197,180,152,179,193,180,170,144,180,128,133,151,152,152,152,151,152,128,152,152,144,144,152,120,164,151,151,152,135,152,133,117,135,152,151,164,151,135,96,109,128,96,96,96,135,109,135,135,120,151,144,151,135,135,135,151,152,151,180,152,151,180,180,180,152,180,197,195,179,195,195,180,179,180,197,180,179,186,197,180,180,180,179,179,195,195,180,180,180,195,195,193,195,195,180,180,180,195,195,180,179,180,197,180,195,179,179,180,180,180,197,180,179,197,179,195,180,180,170,195,180,180,195,195,180,179,197,195,195,180,195,197,180,195,180,195,195,197,180,195,180,180,180,180,180,195,195,179,195,180,195,186,197,180,193,180,180,179,197,179,197,180,180,180,180,186,180,197,195,170,193,180,195,180,180,193,179,179,195,180,195,195,180,180,197,180,151,180,180,152,180,179,195,180,195,180,195,179,197,180,180,179,179,195,170,180,179,180,164,180,180,152,151,152
64,89,64,96,102,74,89,102,96,96,92,96,89,89,92,109,74,89,96,102,96,102,109,120,117,109,135,120,152,96,120,128,144,135,117,144,135,144,128,152,152,152,152,164,180,180,151,152,152,197,180,180,195,179,179,180,179,195,179,195,193,180,195,180,193,197,180,195,195,180,179,164,179,179,195,180,170,180,195,179,195,180,180,179,179,180,180,195,180,179,152,151,179,151,151,152,152,144,151,152,135,120,135,135,120,152,135,120,135,128,152,128,128,135,152,152,152,152,151,151,152,135,120,135,135,117,92,109,128,109,120,120,135,151,117,152,117,120,120,120,151,144,180,152,164,180,152,152,164,179,180,180,180,195,179,186,180,179,179,179,179,180,179,180,195,179,180,180,197,197,179,180,195,195,180,195,179,180,197,180,195,180,195,180,179,193,170,195,180,179,195,193,195,195,170,195,180,195,179,195,180,193,197,197,179,195,179,195,186,180,195,195,180,197,180,195,180,195,193,197,179,180,197,195,193,197,180,197,195,180,195,195,180,195,180,179,180,179,180,179,197,195,197,180,195,195,197,179,195,197,180,180,180,195,180,179,179,197,195,180,195,180,195,195,180,179,180,180,171,179,170,180,180,152,179,180,195,180,179,180,179,180,180,152,195,195,180,195,180,152,170,180,179,179,144,180,152,152,133
89,54,64,74,89,96,89,96,89,102,96,96,89,96,96,102,89,96,96,120,120,102,117,109,96,109,135,120,135,109,151,120,120,120,151,135,120,152,170,152,151,164,180,151,179,152,179,180,179,195,179,179,180,197,179,180,180,195,197,193,195,179,195,180,193,180,180,180,180,179,180,195,186,180,179,180,195,180,195,180,195,180,179,195,180,180,179,164,180,170,151,151,152,151,152,152,152,151,152,135,120,120,128,133,120,128,120,117,135,128,120,120,117,120,120,152,151,135,152,117,152,152,135,117,120,120,144,128,96,109,117,135,152,135,120,128,152,117,151,152,128,170,179,152,164,164,164,180,180,195,180,195,179,197,180,180,180,197,195,197,180,180,197,180,195,170,195,180,180,180,179,180,180,180,195,179,195,195,195,180,195,180,179,195,197,180,179,180,180,179,180,179,195,179,197,180,180,195,197,197,197,180,195,179,195,180,179,195,180,179,180,180,195,195,179,180,179,195,180,197,197,195,180,180,180,180,195,195,193,180,179,180,195,195,197,180,195,197,197,193,195,180,193,180,180,179,180,195,195,180,197,197,180,180,179,195,180,179,195,195,180,179,180,180,195,179,179,197,179,180,180,152,179,180,180,152,152,180,152,171,180,179,180,170,180,180,180,164,180,180,179,164,195,152,152,180,135,152,135
64,74,89,92,102,102,92,109,89,92,89,96,109,74,102,96,89,109,102,102,96,96,128,120,120,120,117,152,135,117,128,135,128,152,144,144,144,152,135,120,164,152,152,180,151,180,152,152,152,180,179,180,179,180,180,180,170,180,180,195,170,180,179,180,179,195,197,179,180,180,180,170,180,195,195,180,151,180,180,179,179,164,180,171,170,180,180,152,152,180,164,170,135,170,135,180,135,135,128,151,133,120,135,117,120,120,117,152,128,152,135,152,135,135,152,151,152,128,152,152,152,133,135,128,117,135,151,120,96,120,128,117,135,128,120,128,120,135,144,135,180,152,152,180,152,152,179,179,180,197,179,180,193,180,193,195,195,179,179,180,180,179,180,180,193,180,179,179,195,179,197,195,195,197,179,180,197,180,186,180,179,197,197,180,180,197,179,195,195,197,180,195,179,197,180,195,195,179,193,180,195,195,180,197,180,195,179,195,180,195,180,197,179,180,193,179,197,180,195,179,195,179,197,195,195,197,195,180,197,180,195,197,197,195,186,180,179,197,180,164,180,197,195,180,195,195,197,179,180,179,179,195,179,195,164,170,180,197,197,180,195,195,197,179,197,180,195,179,180,197,152,179,180,152,170,170,179,151,180,195,179,180,195,180,193,180,197,179,152,195,195,170,152,151,180,151,151,152,152
96,92,109,89,96,89,96,96,92,102,96,96,89,92,96,96,102,96,74,96,120,102,120,96,117,135,120,120,135,120,135,152,144,152,120,135,135,135,152,152,152,135,152,135,180,180,170,164,180,170,195,195,180,179,180,195,179,195,170,180,179,180,179,180,179,180,195,197,179,195,170,180,180,152,195,180,179,179,179,179,180,179,179,180,179,164,151,179,151,180,151,180,180,144,152,164,171,133,152,120,128,120,109,128,128,128,135,144,120,117,144,120,144,120,120,144,144,128,120,144,135,152,152,120,128,117,120,133,109,117,120,120,133,135,133,152,144,133,152,164,152,151,151,164,179,180,164,179,152,193,195,179,179,179,180,179,180,195,195,180,195,195,195,195,197,195,180,180,180,180,164,180,180,180,197,180,195,180,197,180,180,180,180,180,195,195,197,180,193,180,197,180,195,180,195,180,193,197,197,180,195,180,179,180,195,195,195,197,197,195,180,180,195,197,195,180,195,195,179,197,179,197,195,197,179,195,197,195,195,197,195,180,197,193,180,193,195,180,180,195,195,195,180,179,193,179,195,180,180,180,179,180,180,180,180,179,180,164,179,180,197,180,170,195,195,152,179,170,180,179,195,180,180,180,197,179,195,180,180,195,164,180,179,179,170,180,164,195,180,152,152,180,152,164,135,152,152,152,135
102,96,92,74,96,92,89,102,135,96,109,102,96,102,92,96,117,96,120,96,96,120,89,109,120,135,128,117,128,120,120,128,120,135,128,151,152,128,135,152,144,152,151,180,152,164,152,164,180,197,179,180,180,179,180,195,180,195,179,195,186,180,179,197,180,179,195,179,180,180,195,180,152,179,179,180,179,179,152,180,152,180,152,180,180,180,180,170,151,180,179,170,151,152,151,152,151,135,120,152,96,128,135,109,120,120,117,128,135,120,96,135,133,128,135,152,144,152,135,135,120,135,151,135,144,109,135,152,120,120,128,135,133,120,135,128,151,135,152,151,152,171,151,179,180,180,180,180,180,180,179,195,180,164,195,195,164,197,197,180,180,180,180,179,180,180,195,186,195,179,195,186,179,180,197,197,180,195,195,195,197,180,197,179,197,180,195,197,179,195,195,180,197,179,180,197,195,195,195,195,180,197,180,186,180,179,193,180,195,197,180,197,195,179,193,195,197,195,180,180,180,180,180,195,180,193,195,180,195,197,180,179,195,180,195,197,193,197,179,180,180,193,180,195,197,179,180,195,180,179,180,197,195,179,180,179,193,180,197,180,179,180,179,180,180,151,197,180,195,180,151,164,179,152,180,180,180,179,195,170,180,180,180,179,180,180,170,180,180,164,152,180,180,151,152,128,135,152,151
